ID del pedido,Seguimiento courier,Fecha de envío,Tarifa base,Peso facturable,Peso original,Contra reembolso (COD),Dimensión,Combustible,Paquetes,Seguro,Zona remota,Corrección de dirección,Derechos de exportación,Otros,Total mensajería,Total original,Fecha de recogida,Fecha de entrega,Días en tránsito,Días en tránsito (SLA),Razón,Sobrecargo total,Total esperado (checker),Sobrecargo (checker),Veredicto (checker),Razón (checker)
ES26019718,4460477,21.05.2026,9.55,2.04,0.8,0,0,0.0,0.0,0,0,0,0,0.0,14.18,9.55,16.04.2026,21.04.2026,5,5,Rate; Fuel; Dimensions; Parcels; Other; ShipmentWeight,3.23,14.18,0.0,OK,Peso
ES26019421,4442737,21.05.2026,8.25,4.2,0.1,0,0,0.0,0.0,0,0,0,0,0.0,12.89,8.25,15.04.2026,17.04.2026,2,4,Rate; Fuel; Dimensions; Parcels; Other; ShipmentWeight,3.24,12.89,0.0,OK,
ES26017526,4275871,04.08.2026,3.02,9.95,3.69,0,0,0.21,0.0,0,0,0,0,0.0,7.48,3.23,08.04.2026,09.04.2026,1,1,Rate; Fuel; Dimensions; Parcels; Other; ShipmentWeight,3.25,7.48,0.0,OK,Peso
ES26018679,4373740,21.05.2026,4.33,15.32,9.5,0,0,0.0,0.0,0,0,0,0,0.0,8.58,4.33,13.04.2026,14.04.2026,1,1,Rate; Fuel; Dimensions; Parcels; Other; ShipmentWeight,3.25,8.58,0.0,OK,Peso
Z97X-2604-174912,4450250,21.05.2026,5.47,5.4,3.24,0,0,0.0,0.0,0,0,0,0,0.0,9.72,5.47,16.04.2026,17.04.2026,1,1,Rate; Fuel; Dimensions; Parcels; Other; ShipmentWeight,3.25,,,UNVERIFIED,Peso
26019051,4485998,21.05.2026,0.0,1.79,-,0,0,0.0,0.0,0,0,0,0,0.0,3.25,0.0,21.05.2026,21.05.2026,-,-,Additional shipment,3.25,3.25,0.0,OK,
26020078,4486092,21.05.2026,0.0,0.01,-,0,0,0.0,0.0,0,0,0,0,0.0,3.25,0.0,21.05.2026,21.05.2026,-,-,Additional shipment,3.25,3.25,0.0,OK,
26020439,4537527,21.05.2026,0.0,1.36,-,0,0,0.0,0.0,0,0,0,0,0.0,3.27,0.0,21.05.2026,21.05.2026,-,-,Additional shipment,3.27,3.27,0.0,OK,
26020448,4537531,21.05.2026,0.0,0.12,-,0,0,0.0,0.0,0,0,0,0,0.0,3.27,0.0,21.05.2026,21.05.2026,-,-,Additional shipment,3.27,3.27,0.0,OK,
26020815,4568125,21.05.2026,0.0,1.79,-,0,0,0.0,0.0,0,0,0,0,0.0,3.27,0.0,21.05.2026,21.05.2026,-,-,Additional shipment,3.27,3.27,0.0,OK,
26020935,4568229,21.05.2026,0.0,1.0,-,0,0,0.0,0.0,0,0,0,0,0.0,3.27,0.0,21.05.2026,21.05.2026,-,-,Additional shipment,3.27,3.27,0.0,OK,
26020958,4568249,21.05.2026,0.0,1.79,-,0,0,0.0,0.0,0,0,0,0,0.0,3.27,0.0,21.05.2026,21.05.2026,-,-,Additional shipment,3.27,3.27,0.0,OK,
